year,country,type,latitude,longitude,month,day,elevation,vei,tsu
79.0,Italy,Complex volcano,40.821,14.426,8.0,25.0,1281.0,5.0,1
766.0,Japan,Stratovolcano,31.577,130.659,7.0,20.0,1117.0,3.0,1
1104.0,Iceland,Stratovolcano,63.983,-19.666,10.0,15.0,1490.0,5.0,0
1158.0,Iceland,Stratovolcano,63.983,-19.666,1.0,19.0,1490.0,4.0,0
1206.0,Iceland,Stratovolcano,63.983,-19.666,12.0,4.0,1490.0,2.0,0
1300.0,Iceland,Stratovolcano,63.983,-19.666,7.0,11.0,1490.0,4.0,0
1311.0,Iceland,Subglacial volcano,63.633,-19.083,1.0,18.0,1490.0,4.0,0
1329.0,Italy,Stratovolcano,37.748,14.999,6.0,28.0,3357.0,3.0,1
1329.0,Italy,Stratovolcano,37.748,14.999,7.0,15.0,3357.0,3.0,0
1341.0,Iceland,Stratovolcano,63.983,-19.666,5.0,19.0,1490.0,3.0,0
1362.0,Iceland,Stratovolcano,64.0,-16.65,6.0,5.0,2010.0,5.0,0
1389.0,Iceland,Stratovolcano,63.983,-19.666,12.0,1.0,1490.0,3.0,0
1410.0,Japan,Stratovolcano,37.125,139.963,3.0,5.0,1915.0,3.0,0
1471.0,Japan,Stratovolcano,31.577,130.659,11.0,3.0,1117.0,5.0,0
1510.0,Iceland,Stratovolcano,63.983,-19.666,7.0,25.0,1490.0,4.0,0
1510.0,Iceland,Stratovolcano,63.983,-19.666,10.0,15.0,1490.0,4.0,0
1536.0,Italy,Stratovolcano,37.748,14.999,3.0,26.0,3357.0,3.0,0
1538.0,Italy,Caldera,40.827,14.139,9.0,29.0,458.0,3.0,0
1564.0,Indonesia,Stratovolcano,1.38,127.53,12.0,31.0,1635.0,3.0,0
1566.0,Japan,Shield volcano,31.934,130.862,10.0,31.0,1700.0,3.0,0
1580.0,Portugal,Fissure vent,38.65,-28.08,5.0,1.0,1053.0,3.0,0
1580.0,Iceland,Subglacial volcano,63.633,-19.083,8.0,11.0,1490.0,4.0,0
1581.0,Guatemala,Stratovolcano,14.473,-90.88,12.0,26.0,3763.0,4.0,0
1590.0,Mexico,Stratovolcano,19.514,-103.62,1.0,15.0,3850.0,3.0,0
1595.0,Colombia,Stratovolcano,4.892,-75.324,3.0,12.0,5279.0,4.0,0
1596.0,Japan,Complex volcano,36.406,138.523,5.0,1.0,2568.0,2.0,0
1597.0,Iceland,Stratovolcano,63.983,-19.666,1.0,3.0,1490.0,4.0,0
1598.0,Japan,Complex volcano,36.406,138.523,5.0,13.0,2568.0,2.0,0
1600.0,Peru,Stratovolcano,-16.614,-70.854,2.0,19.0,4679.0,6.0,0
1606.0,Japan,Stratovolcano,33.137,139.766,1.0,23.0,854.0,2.0,1
1608.0,Indonesia,Stratovolcano,0.81,127.332,7.0,18.0,1714.0,3.0,1
1625.0,Iceland,Subglacial volcano,63.633,-19.083,9.0,2.0,1490.0,5.0,0
1630.0,Portugal,Stratovolcano,37.77,-25.32,9.0,3.0,805.0,4.0,0
1631.0,Italy,Complex volcano,40.821,14.426,12.0,16.0,1281.0,5.0,1
1636.0,Iceland,Stratovolcano,63.983,-19.666,5.0,15.0,1490.0,3.0,0
1640.0,Japan,Stratovolcano,42.063,140.677,7.0,31.0,1131.0,5.0,1
1646.0,Indonesia,Stratovolcano,0.32,127.4,7.0,19.0,1357.0,4.0,1
1650.0,Greece,Shield volcano,36.404,25.396,9.0,26.0,367.0,4.0,1
1659.0,El Salvador,Stratovolcano,13.734,-89.294,9.0,30.0,1893.0,3.0,0
1659.0,Pacific Ocean,Stratovolcano,-6.976,129.144,11.0,11.0,728.0,4.0,1
1660.0,Ecuador,Stratovolcano,-0.171,-78.598,10.0,27.0,4784.0,4.0,0
1660.0,Iceland,Subglacial volcano,63.633,-19.083,11.0,3.0,1490.0,4.0,0
1663.0,Japan,Stratovolcano,42.544,140.839,8.0,16.0,733.0,5.0,0
1664.0,Japan,Complex volcano,32.761,130.299,4.0,15.0,1483.0,2.0,0
1669.0,Italy,Stratovolcano,37.748,14.999,3.0,11.0,3357.0,3.0,0
1669.0,Italy,Stratovolcano,37.748,14.999,3.0,19.0,3357.0,3.0,0
1672.0,Portugal,Stratovolcano,38.576,-28.713,4.0,24.0,1041.0,2.0,0
1672.0,Indonesia,Stratovolcano,-7.54,110.446,8.0,4.0,2910.0,3.0,0
1673.0,Indonesia,Stratovolcano,1.38,127.53,5.0,20.0,1635.0,5.0,1
1677.0,Spain,Stratovolcano,28.57,-17.83,11.0,22.0,2426.0,2.0,0
1682.0,Italy,Complex volcano,40.821,14.426,8.0,12.0,1281.0,3.0,0
1690.0,Italy,Complex volcano,40.821,14.426,2.0,3.0,1281.0,3.0,1
1692.0,Pacific Ocean,Stratovolcano,-6.312,130.017,6.0,4.0,608.0,4.0,0
1693.0,Iceland,Stratovolcano,63.983,-19.666,2.0,13.0,1490.0,4.0,1
1694.0,Pacific Ocean,Caldera,-4.523,129.881,11.0,20.0,596.0,3.0,0
1706.0,Spain,Stratovolcano,28.271,-16.641,5.0,5.0,3715.0,2.0,1
1707.0,Japan,Stratovolcano,35.361,138.728,12.0,16.0,3776.0,4.0,0
1711.0,Indonesia,Stratovolcano,3.689,125.447,12.0,11.0,1318.0,3.0,0
1712.0,Iceland,Stratovolcano,64.633,-17.516,1.0,15.0,2000.0,2.0,0
1716.0,Indonesia,Stratovolcano,-7.935,112.314,7.0,20.0,1730.0,2.0,0
1716.0,Philippines,Stratovolcano,14.011,120.998,9.0,24.0,311.0,4.0,1
1716.0,Iceland,Stratovolcano,64.633,-17.516,10.0,5.0,2000.0,2.0,0
1716.0,Japan,Shield volcano,31.934,130.862,11.0,9.0,1700.0,3.0,0
1717.0,Japan,Shield volcano,31.934,130.862,2.0,7.0,1700.0,3.0,0
1717.0,Iceland,Stratovolcano,64.633,-17.516,8.0,4.0,2000.0,3.0,0
